时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-04-29,五",22.3,22.3,22.3,22.3,6.29%,0.00%,"224,000","4,995,200",0.015,183
"2022-04-29,五",22.1,22.1,21.08,21.29,-4.53%,4.57%,"1,044,600","22,395,245",0.071,1924
"2022-04-29,五",21.33,21.33,21.08,21.14,-0.70%,1.17%,"1,034,514","21,928,739",0.07,1990
"2022-04-29,五",21.14,21.15,20.9,20.95,-0.90%,1.18%,"624,800","13,136,733",0.042,1168
"2022-04-29,五",20.97,21.04,20.95,20.98,0.14%,0.43%,"686,500","14,415,168",0.047,1037
"2022-04-29,五",21.01,21.11,21.01,21.11,0.62%,0.48%,"348,700","7,346,010",0.024,532
"2022-04-29,五",21.14,21.19,21.13,21.13,0.09%,0.28%,"438,000","9,265,579",0.03,630
"2022-04-29,五",21.14,21.15,21.01,21.03,-0.47%,0.66%,"676,597","14,259,824",0.046,827
"2022-04-29,五",21.02,21.15,21.02,21.07,0.19%,0.62%,"373,100","7,864,587",0.025,552
"2022-04-29,五",21.1,21.13,21.03,21.13,0.28%,0.47%,"192,000","4,045,291",0.013,305
"2022-04-29,五",21.13,21.13,21.06,21.1,-0.14%,0.33%,"288,700","6,089,750",0.02,380
"2022-04-29,五",21.1,21.1,21.02,21.1,0.00%,0.38%,"576,600","12,124,864",0.039,599
"2022-04-29,五",21.1,21.1,21.01,21.03,-0.33%,0.43%,"214,900","4,519,040",0.015,239
"2022-04-29,五",21.05,21.05,21.02,21.02,-0.05%,0.14%,"114,300","2,403,750",0.008,207
"2022-04-29,五",21.02,21.03,21.01,21.03,0.05%,0.10%,"177,700","3,734,030",0.012,228
"2022-04-29,五",21.03,21.07,21.03,21.04,0.05%,0.19%,"85,629","1,801,800",0.006,269
"2022-04-29,五",21.04,21.05,21,21,-0.19%,0.24%,"186,100","3,912,060",0.013,282
"2022-04-29,五",21,21.06,21,21.05,0.24%,0.29%,"172,271","3,619,890",0.012,408
"2022-04-29,五",21.05,21.1,21.05,21.1,0.24%,0.24%,"83,600","1,761,750",0.006,247
"2022-04-29,五",21.1,21.25,21.1,21.25,0.71%,0.71%,"97,200","2,058,110",0.007,209
"2022-04-29,五",21.28,21.32,21.26,21.29,0.19%,0.28%,"220,800","4,699,530",0.015,427
"2022-04-29,五",21.26,21.29,21.12,21.17,-0.56%,0.80%,"215,100","4,554,750",0.015,566
"2022-04-29,五",21.17,21.18,21.08,21.15,-0.09%,0.47%,"280,500","5,929,300",0.019,329
"2022-04-29,五",21.15,21.28,21.14,21.28,0.61%,0.66%,"195,400","4,144,940",0.013,267
"2022-04-29,五",21.3,21.35,21.26,21.33,0.23%,0.42%,"204,900","4,363,180",0.014,387
"2022-04-29,五",21.32,21.32,21.2,21.22,-0.52%,0.56%,"296,600","6,305,170",0.02,424
"2022-04-29,五",21.22,21.22,21.1,21.11,-0.52%,0.57%,"237,000","5,008,970",0.016,420
"2022-04-29,五",21.11,21.19,21.11,21.11,0.00%,0.38%,"117,300","2,480,010",0.008,301
"2022-04-29,五",21.11,21.15,21.1,21.14,0.14%,0.24%,"96,200","2,031,170",0.007,147
"2022-04-29,五",21.15,21.22,21.15,21.22,0.38%,0.33%,"50,000","1,059,160",0.003,103
"2022-04-29,五",21.22,21.22,21.18,21.18,-0.19%,0.19%,"111,300","2,358,890",0.008,210
"2022-04-29,五",21.18,21.2,21.12,21.15,-0.14%,0.38%,"124,341","2,632,190",0.008,236
"2022-04-29,五",21.14,21.22,21.11,21.11,-0.19%,0.52%,"133,100","2,818,250",0.009,269
"2022-04-29,五",21.12,21.21,21.12,21.21,0.47%,0.43%,"76,200","1,613,060",0.005,156
"2022-04-29,五",21.2,21.25,21.2,21.23,0.09%,0.24%,"55,200","1,172,260",0.004,172
"2022-04-29,五",21.24,21.27,21.22,21.24,0.05%,0.24%,"130,100","2,764,640",0.009,166
"2022-04-29,五",21.25,21.26,21.23,21.25,0.05%,0.14%,"86,700","1,842,090",0.006,252
"2022-04-29,五",21.24,21.31,21.24,21.31,0.28%,0.33%,"87,800","1,868,430",0.006,193
"2022-04-29,五",21.31,21.38,21.31,21.38,0.33%,0.33%,"115,500","2,465,370",0.008,209
"2022-04-29,五",21.38,21.41,21.33,21.4,0.09%,0.37%,"198,300","4,240,080",0.013,434
"2022-04-29,五",21.39,21.44,21.39,21.43,0.14%,0.23%,"245,100","5,249,870",0.017,383
"2022-04-29,五",21.42,21.43,21.36,21.36,-0.33%,0.33%,"197,000","4,216,230",0.013,331
"2022-04-29,五",21.35,21.39,21.32,21.33,-0.14%,0.33%,"141,300","3,019,470",0.01,275
"2022-04-29,五",21.34,21.36,21.33,21.34,0.05%,0.14%,"81,100","1,731,200",0.005,159
