时间,开盘,最高,最低,收盘,涨幅,振幅,总手,金额,换手%,成交次数
"2022-03-08,二",463.98,463.98,463.98,463.98,1745.58%,0.00%,"164,200","76,185,516",0.008,552
"2022-03-08,二",459.99,464,455.05,457,-1.50%,1.93%,"814,240","373,919,980",0.04,2865
"2022-03-08,二",457.39,457.39,454.14,455.48,-0.33%,0.71%,"271,598","123,856,352",0.013,1305
"2022-03-08,二",456,457.8,455.51,456.77,0.28%,0.50%,"262,100","119,610,044",0.013,1340
"2022-03-08,二",455.41,455.52,451.91,452.3,-0.98%,0.79%,"217,100","98,683,586",0.011,1088
"2022-03-08,二",452.23,453.99,451.1,451.57,-0.16%,0.64%,"231,200","104,681,462",0.011,1271
"2022-03-08,二",451.18,452.89,451.01,451.47,-0.02%,0.42%,"148,803","67,222,674",0.007,885
"2022-03-08,二",451.36,452.64,450.68,450.86,-0.14%,0.43%,"215,320","97,228,265",0.011,1111
"2022-03-08,二",450.58,451,449.67,450.87,0.00%,0.29%,"256,623","115,568,032",0.013,1344
"2022-03-08,二",450.8,450.88,449.06,449.12,-0.39%,0.40%,"149,900","67,481,561",0.007,714
"2022-03-08,二",449,450.61,448.01,450.61,0.33%,0.58%,"222,053","99,766,723",0.011,1004
"2022-03-08,二",450.61,452.9,450.51,452.68,0.46%,0.53%,"103,730","46,890,527",0.005,650
"2022-03-08,二",452.11,455,452,454.25,0.35%,0.66%,"145,759","66,140,195",0.007,804
"2022-03-08,二",454,454,450.9,451.18,-0.68%,0.68%,"116,100","52,513,259",0.006,469
"2022-03-08,二",451.18,454.5,450.9,454.5,0.74%,0.80%,"134,400","60,875,805",0.007,629
"2022-03-08,二",454.5,457.74,454.22,457.37,0.63%,0.77%,"96,700","44,076,345",0.005,511
"2022-03-08,二",457.49,457.49,456,456.27,-0.24%,0.33%,"202,100","92,302,407",0.01,799
"2022-03-08,二",456.84,456.85,456.28,456.51,0.05%,0.12%,"92,600","42,283,664",0.005,499
"2022-03-08,二",456.45,457.14,456,456.46,-0.01%,0.25%,"179,500","81,973,817",0.009,902
"2022-03-08,二",456.37,456.37,454.12,454.12,-0.51%,0.49%,"188,484","85,761,523",0.009,736
"2022-03-08,二",453.62,455.06,453.62,454.82,0.15%,0.32%,"104,700","47,603,015",0.005,488
"2022-03-08,二",455.05,455.69,452.57,452.6,-0.49%,0.69%,"118,200","53,707,370",0.006,597
"2022-03-08,二",452.5,453.78,452.4,453,0.09%,0.30%,"62,900","28,494,381",0.003,406
"2022-03-08,二",452.69,454.42,452.69,453.57,0.13%,0.38%,"82,700","37,500,212",0.004,503
"2022-03-08,二",453.1,453.1,450.45,450.45,-0.69%,0.58%,"88,400","39,925,316",0.004,521
"2022-03-08,二",450.5,450.5,449.64,450.37,-0.02%,0.19%,"159,961","71,994,628",0.008,708
"2022-03-08,二",450.36,452,450.36,452,0.36%,0.36%,"84,900","38,292,153",0.004,410
"2022-03-08,二",452,452.02,450.97,450.97,-0.23%,0.23%,"73,700","33,287,806",0.004,331
"2022-03-08,二",450.91,452.43,450.91,451.66,0.15%,0.34%,"95,400","43,064,168",0.005,414
"2022-03-08,二",451.66,451.66,450,450.35,-0.29%,0.37%,"97,400","43,882,419",0.005,503
"2022-03-08,二",449.83,450.04,449.45,450,-0.08%,0.13%,"122,800","55,249,619",0.006,429
"2022-03-08,二",449.9,452,449.9,450.38,0.08%,0.47%,"124,231","56,044,076",0.006,544
"2022-03-08,二",451,451,449.82,449.85,-0.12%,0.26%,"116,500","52,452,874",0.006,443
"2022-03-08,二",450.5,451,450.02,450.14,0.06%,0.22%,"82,400","37,102,584",0.004,400
"2022-03-08,二",450.06,450.98,449.55,449.99,-0.03%,0.32%,"108,300","48,742,909",0.005,556
"2022-03-08,二",449.33,450.09,449.3,450.09,0.02%,0.18%,"97,800","43,980,768",0.005,496
"2022-03-08,二",450.09,451.01,450.09,450.8,0.16%,0.20%,"49,300","22,228,548",0.002,307
"2022-03-08,二",450.9,451.3,450.83,451.26,0.10%,0.10%,"43,800","19,754,608",0.002,261
"2022-03-08,二",451.3,451.3,450,450,-0.28%,0.29%,"111,400","50,197,669",0.005,397
"2022-03-08,二",450.1,450.9,450,450.5,0.11%,0.20%,"105,400","47,441,217",0.005,471
"2022-03-08,二",450.5,450.52,449.3,449.35,-0.26%,0.27%,"109,877","49,436,999",0.005,455
"2022-03-08,二",449.38,451.99,449.37,451.15,0.40%,0.58%,"67,400","30,386,651",0.003,372
"2022-03-08,二",451,451.5,450.99,450.99,-0.04%,0.11%,"66,200","29,869,296",0.003,348
"2022-03-08,二",450.99,451.1,450,450.2,-0.18%,0.24%,"75,800","34,167,040",0.004,412
"2022-03-08,二",449.75,450,449.52,449.95,-0.06%,0.11%,"58,800","26,448,031",0.003,327
"2022-03-08,二",449.47,450,448.5,448.97,-0.22%,0.33%,"102,100","45,869,483",0.005,574
"2022-03-08,二",448.97,449.04,448.02,448.02,-0.21%,0.23%,"73,600","33,024,451",0.004,444
"2022-03-08,二",449,449,446.33,446.58,-0.32%,0.60%,"142,400","63,764,050",0.007,669
"2022-03-08,二",446.5,446.58,445.01,445.97,-0.14%,0.35%,"268,848","119,940,669",0.013,1093
"2022-03-08,二",446.05,446.88,445.97,446.81,0.19%,0.20%,"93,800","41,856,244",0.005,466
"2022-03-08,二",446.81,448.87,446.81,447.37,0.13%,0.46%,"116,100","51,988,563",0.006,484
"2022-03-08,二",447.12,447.67,447.12,447.2,-0.04%,0.12%,"66,200","29,616,645",0.003,370
"2022-03-08,二",447.3,447.3,445.56,445.56,-0.37%,0.39%,"61,200","27,317,051",0.003,305
"2022-03-08,二",445.51,445.55,444.62,444.62,-0.21%,0.21%,"155,752","69,328,386",0.008,779
"2022-03-08,二",444.23,444.23,443.17,443.49,-0.25%,0.24%,"147,300","65,404,386",0.007,741
"2022-03-08,二",443.23,444.54,443.01,444.54,0.24%,0.34%,"250,200","110,977,111",0.012,968
"2022-03-08,二",444.98,444.99,444.5,444.55,0.00%,0.11%,"93,900","41,753,234",0.005,457
"2022-03-08,二",444.59,444.98,443.99,443.99,-0.13%,0.22%,"88,700","39,435,383",0.004,436
"2022-03-08,二",443.93,444.78,443.05,443.12,-0.20%,0.39%,"111,604","49,511,009",0.005,554
"2022-03-08,二",443.07,445.69,443.07,445.69,0.58%,0.59%,"110,900","49,258,049",0.005,522
"2022-03-08,二",445.69,445.69,444.6,444.6,-0.24%,0.24%,"85,200","37,921,143",0.004,387
"2022-03-08,二",444.51,445.3,444.44,445,0.09%,0.19%,"82,475","36,700,675",0.004,447
"2022-03-08,二",445,445.01,444.4,444.52,-0.11%,0.14%,"68,400","30,419,680",0.003,302
"2022-03-08,二",444.12,446.3,444.12,446.3,0.40%,0.49%,"120,529","53,641,049",0.006,458
"2022-03-08,二",445.48,445.87,445.01,445.06,-0.28%,0.19%,"57,700","25,701,445",0.003,263
"2022-03-08,二",445.1,448,445.1,448,0.66%,0.65%,"61,908","27,605,105",0.003,299
"2022-03-08,二",448,449,448,448.9,0.20%,0.22%,"97,000","43,471,278",0.005,407
"2022-03-08,二",448.42,449.8,448.42,449.8,0.20%,0.31%,"33,600","15,088,612",0.002,225
"2022-03-08,二",449.8,450.5,449.8,449.8,0.00%,0.16%,"81,300","36,593,137",0.004,432
